experiment_id, sensor_pair    , sensor_combination, physiological_parameter          , parameter_label                               , correlation_coefficient, p_value               , n_samples, statistically_significant
            1, sensor2-sensor3, Nose→Finger       , systolic_bp_mean                 , Systolic BP (mmHg)                            , 0.1566407109435472     , 0.001368699568523603  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , systolic_bp_std                  , Systolic BP (mmHg) (SD)                       , 0.19383700357299302    , 7.049494937504133e-05 ,       415, True
            1, sensor2-sensor3, Nose→Finger       , systolic_bp_min                  , Systolic BP (mmHg) (Min)                      , 0.12465654741451934    , 0.011031210799728621  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , systolic_bp_max                  , Systolic BP (mmHg) (Max)                      , 0.1840438164318171     , 0.00016311486556416674,       415, True
            1, sensor2-sensor3, Nose→Finger       , diastolic_bp_mean                , Diastolic BP (mmHg)                           , -0.11186484495111926   , 0.022658484251702634  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , diastolic_bp_std                 , Diastolic BP (mmHg) (SD)                      , 0.034114627349842566   , 0.48826350754961123   ,       415, False
            1, sensor2-sensor3, Nose→Finger       , diastolic_bp_min                 , Diastolic BP (mmHg) (Min)                     , -0.04127008344263894   , 0.4017179622610728    ,       415, False
            1, sensor2-sensor3, Nose→Finger       , diastolic_bp_max                 , Diastolic BP (mmHg) (Max)                     , 0.010787757612977627   , 0.8265668152555666    ,       415, False
            1, sensor2-sensor3, Nose→Finger       , mean_bp_mean                     , Mean Arterial Pressure (mmHg)                 , -0.04179232085865134   , 0.395782576906458     ,       415, False
            1, sensor2-sensor3, Nose→Finger       , mean_bp_std                      , Mean Arterial Pressure (mmHg) (SD)            , 0.09260605981647135    , 0.059444585120692464  ,       415, False
            1, sensor2-sensor3, Nose→Finger       , mean_bp_min                      , Mean Arterial Pressure (mmHg) (Min)           , -0.17093867931709275   , 0.00046953793573320345,       415, True
            1, sensor2-sensor3, Nose→Finger       , mean_bp_max                      , Mean Arterial Pressure (mmHg) (Max)           , -0.012627550120282726  , 0.7975824791251185    ,       415, False
            1, sensor2-sensor3, Nose→Finger       , bp_mean                          , Continuous BP (mmHg)                          , -0.034194033169104326  , 0.48725114778624257   ,       415, False
            1, sensor2-sensor3, Nose→Finger       , bp_std                           , Continuous BP (mmHg) (SD)                     , 0.14274270384781212    , 0.0035676692259514445 ,       415, True
            1, sensor2-sensor3, Nose→Finger       , bp_min                           , Continuous BP (mmHg) (Min)                    , -0.15454943589863598   , 0.0015890513920430486 ,       415, True
            1, sensor2-sensor3, Nose→Finger       , bp_max                           , Continuous BP (mmHg) (Max)                    , 0.17142883209037896    , 0.00045193352199090017,       415, True
            1, sensor2-sensor3, Nose→Finger       , cardiac_output_mean              , Cardiac Output (L/min)                        , -0.040052558921763196  , 0.4157605606608718    ,       415, False
            1, sensor2-sensor3, Nose→Finger       , cardiac_output_std               , Cardiac Output (L/min) (SD)                   , 0.19496005624400564    , 6.385624221576983e-05 ,       415, True
            1, sensor2-sensor3, Nose→Finger       , cardiac_output_min               , Cardiac Output (L/min) (Min)                  , -0.14176758516640148   , 0.003804358844248145  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , cardiac_output_max               , Cardiac Output (L/min) (Max)                  , 0.13148155437638492    , 0.007317104250211493  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , cardiac_index_mean               , Cardiac Index (L/min/m²)                      , -0.04120293520084915   , 0.40248496469752726   ,       415, False
            1, sensor2-sensor3, Nose→Finger       , cardiac_index_std                , Cardiac Index (L/min/m²) (SD)                 , 0.19485550851864203    , 6.44484332363356e-05  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , cardiac_index_min                , Cardiac Index (L/min/m²) (Min)                , -0.1422166436681067    , 0.0036936474156029223 ,       415, True
            1, sensor2-sensor3, Nose→Finger       , cardiac_index_max                , Cardiac Index (L/min/m²) (Max)                , 0.13126081809225468    , 0.007417061359528771  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , hr_mean                          , Heart Rate (bpm)                              , -0.081568057030897     , 0.09703082847366036   ,       415, False
            1, sensor2-sensor3, Nose→Finger       , hr_std                           , Heart Rate (bpm) (SD)                         , 0.16960670550644052    , 0.0005206489715961054 ,       415, True
            1, sensor2-sensor3, Nose→Finger       , hr_min                           , Heart Rate (bpm) (Min)                        , -0.1191395336224287    , 0.015165973206057337  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , hr_max                           , Heart Rate (bpm) (Max)                        , -0.022226939877797607  , 0.6516384260488653    ,       415, False
            1, sensor2-sensor3, Nose→Finger       , systemic_vascular_resistance_mean, Systemic Vascular Resistance (dyn·s/cm⁵)      , 0.028465732861637637   , 0.5630891548093099    ,       415, False
            1, sensor2-sensor3, Nose→Finger       , systemic_vascular_resistance_std , Systemic Vascular Resistance (dyn·s/cm⁵) (SD) , 0.18099727577215918    , 0.0002099500681197356 ,       415, True
            1, sensor2-sensor3, Nose→Finger       , systemic_vascular_resistance_min , Systemic Vascular Resistance (dyn·s/cm⁵) (Min), -0.14954710040067842   , 0.002254274958783766  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , systemic_vascular_resistance_max , Systemic Vascular Resistance (dyn·s/cm⁵) (Max), 0.12137925482266457    , 0.013346755235421027  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , rsp_mean                         , Respiration Rate (breaths/min)                , 0.1610891729065742     , 0.000990289847086643  ,       415, True
            1, sensor2-sensor3, Nose→Finger       , rsp_std                          , Respiration Rate (breaths/min) (SD)           , 0.1551927587382223     , 0.0015180259949921972 ,       415, True
            1, sensor2-sensor3, Nose→Finger       , rsp_min                          , Respiration Rate (breaths/min) (Min)          ,                        ,                       ,       415, False
            1, sensor2-sensor3, Nose→Finger       , rsp_max                          , Respiration Rate (breaths/min) (Max)          , 0.16036652562263193    , 0.0010443334002936558 ,       415, True
            1, sensor2-sensor4, Nose→Wrist        , systolic_bp_mean                 , Systolic BP (mmHg)                            , 0.05324994001280613    , 0.3378410392472687    ,       326, False
            1, sensor2-sensor4, Nose→Wrist        , systolic_bp_std                  , Systolic BP (mmHg) (SD)                       , 0.13925877868027486    , 0.011835863513737683  ,       326, True
            1, sensor2-sensor4, Nose→Wrist        , systolic_bp_min                  , Systolic BP (mmHg) (Min)                      , 0.04275765276573217    , 0.4416582283163767    ,       326, False
            1, sensor2-sensor4, Nose→Wrist        , systolic_bp_max                  , Systolic BP (mmHg) (Max)                      , -0.000996695725748442  , 0.985697336986562     ,       326, False
            1, sensor2-sensor4, Nose→Wrist        , diastolic_bp_mean                , Diastolic BP (mmHg)                           , -0.16496644491769052   , 0.0028117656821803247 ,       326, True
            1, sensor2-sensor4, Nose→Wrist        , diastolic_bp_std                 , Diastolic BP (mmHg) (SD)                      , 0.3367373479944964     , 4.382337550652753e-10 ,       326, True
            1, sensor2-sensor4, Nose→Wrist        , diastolic_bp_min                 , Diastolic BP (mmHg) (Min)                     , -0.38013744610984745   , 1.1970338313219752e-12,       326, True
            1, sensor2-sensor4, Nose→Wrist        , diastolic_bp_max                 , Diastolic BP (mmHg) (Max)                     , -0.21024056427930193   , 0.00013117648005151776,       326, True
            1, sensor2-sensor4, Nose→Wrist        , mean_bp_mean                     , Mean Arterial Pressure (mmHg)                 , -0.028816533669078662  , 0.6041755837561917    ,       326, False
            1, sensor2-sensor4, Nose→Wrist        , mean_bp_std                      , Mean Arterial Pressure (mmHg) (SD)            , 0.16826748684859338    , 0.002301843981645222  ,       326, True
