heartbeat_id,sensor4_peak_time_s,sensor5_peak_time_s
1,0.83,0.71
2,1.55,1.47
4,3.03,2.96
8,6.01,5.92
9,7.51,7.4
10,8.3,8.2
11,9.11,8.99
12,9.91,10.11
14,12.33,12.24
17,15.55,15.44
18,17.09,17.08
20,18.78,18.67
22,19.63,19.5
24,21.19,21.09
25,22.83,22.63
26,23.69,23.54
32,28.64,28.52
33,29.5,29.35
34,30.34,30.2
35,31.14,31.02
36,31.94,31.84
37,32.8,32.68
38,33.67,33.53
39,34.45,34.34
40,35.31,35.18
41,36.2,36.05
42,37.08,36.95
43,37.96,37.85
45,38.76,38.6
46,39.61,39.49
47,40.48,40.33
49,42.92,42.84
50,43.78,43.66
52,45.4,45.31
53,46.26,46.13
54,47.06,46.96
55,47.89,47.81
56,48.72,48.61
58,51.25,51.13
60,52.91,52.79
61,53.7,53.6
62,54.6,54.5
63,55.43,55.31
64,56.31,56.21
65,57.24,57.1
67,58.82,58.8
68,59.81,59.67
69,60.72,60.6
70,61.66,61.53
71,62.55,62.42
72,63.38,63.29
73,64.25,64.15
74,65.16,65.05
75,66.08,65.93
76,66.87,66.75
77,67.7,67.59
78,68.58,68.45
79,69.4,69.3
81,71.09,70.96
86,74.47,74.48
88,76.03,75.97
90,78.38,78.28
96,82.43,82.31
101,88.19,88.06
102,89.05,88.9
104,91.6,91.46
108,94.92,94.79
111,96.89,96.89
116,100.97,100.87
118,102.68,102.82
127,110.35,110.26
128,111.16,111.07
133,115.98,116.01
136,119.35,119.32
138,121.03,120.89
140,121.89,121.79
141,122.77,122.64
143,124.39,124.23
148,128.49,128.33
149,129.41,129.23
150,130.42,130.33
151,131.33,131.25
154,133.11,133.06
