heartbeat_id,sensor_pair,sensor_names,ptt_ms,sensor4_time_s,sensor5_time_s
1,sensor4-sensor5,wrist→ear,-120.0,0.83,0.71
2,sensor4-sensor5,wrist→ear,-80.00000000000007,1.55,1.47
4,sensor4-sensor5,wrist→ear,-69.99999999999984,3.03,2.96
8,sensor4-sensor5,wrist→ear,-89.99999999999986,6.01,5.92
9,sensor4-sensor5,wrist→ear,-109.99999999999943,7.51,7.4
10,sensor4-sensor5,wrist→ear,-100.00000000000142,8.3,8.2
11,sensor4-sensor5,wrist→ear,-119.99999999999922,9.11,8.99
12,sensor4-sensor5,wrist→ear,199.9999999999993,9.91,10.11
14,sensor4-sensor5,wrist→ear,-89.99999999999986,12.33,12.24
17,sensor4-sensor5,wrist→ear,-110.00000000000121,15.55,15.44
18,sensor4-sensor5,wrist→ear,-10.000000000001563,17.09,17.08
20,sensor4-sensor5,wrist→ear,-109.99999999999943,18.78,18.67
22,sensor4-sensor5,wrist→ear,-129.999999999999,19.63,19.5
24,sensor4-sensor5,wrist→ear,-100.00000000000142,21.19,21.09
25,sensor4-sensor5,wrist→ear,-199.9999999999993,22.83,22.63
26,sensor4-sensor5,wrist→ear,-150.00000000000213,23.69,23.54
32,sensor4-sensor5,wrist→ear,-120.000000000001,28.64,28.52
33,sensor4-sensor5,wrist→ear,-149.99999999999858,29.5,29.35
34,sensor4-sensor5,wrist→ear,-140.00000000000057,30.34,30.2
35,sensor4-sensor5,wrist→ear,-120.000000000001,31.14,31.02
36,sensor4-sensor5,wrist→ear,-100.00000000000142,31.94,31.84
37,sensor4-sensor5,wrist→ear,-119.99999999999744,32.8,32.68
38,sensor4-sensor5,wrist→ear,-140.00000000000057,33.67,33.53
39,sensor4-sensor5,wrist→ear,-109.99999999999943,34.45,34.34
40,sensor4-sensor5,wrist→ear,-130.00000000000256,35.31,35.18
41,sensor4-sensor5,wrist→ear,-150.00000000000568,36.2,36.05
42,sensor4-sensor5,wrist→ear,-129.99999999999545,37.08,36.95
43,sensor4-sensor5,wrist→ear,-109.99999999999943,37.96,37.85
45,sensor4-sensor5,wrist→ear,-159.9999999999966,38.76,38.6
46,sensor4-sensor5,wrist→ear,-119.99999999999744,39.61,39.49
47,sensor4-sensor5,wrist→ear,-149.99999999999858,40.48,40.33
49,sensor4-sensor5,wrist→ear,-79.9999999999983,42.92,42.84
50,sensor4-sensor5,wrist→ear,-120.00000000000455,43.78,43.66
52,sensor4-sensor5,wrist→ear,-89.9999999999963,45.4,45.31
53,sensor4-sensor5,wrist→ear,-129.99999999999545,46.26,46.13
54,sensor4-sensor5,wrist→ear,-100.00000000000142,47.06,46.96
55,sensor4-sensor5,wrist→ear,-79.9999999999983,47.89,47.81
56,sensor4-sensor5,wrist→ear,-109.99999999999943,48.72,48.61
58,sensor4-sensor5,wrist→ear,-119.99999999999744,51.25,51.13
60,sensor4-sensor5,wrist→ear,-119.99999999999744,52.91,52.79
61,sensor4-sensor5,wrist→ear,-100.00000000000142,53.7,53.6
62,sensor4-sensor5,wrist→ear,-100.00000000000142,54.6,54.5
63,sensor4-sensor5,wrist→ear,-119.99999999999744,55.43,55.31
64,sensor4-sensor5,wrist→ear,-100.00000000000142,56.31,56.21
65,sensor4-sensor5,wrist→ear,-140.00000000000057,57.24,57.1
67,sensor4-sensor5,wrist→ear,-20.000000000003126,58.82,58.8
68,sensor4-sensor5,wrist→ear,-140.00000000000057,59.81,59.67
69,sensor4-sensor5,wrist→ear,-119.99999999999744,60.72,60.6
70,sensor4-sensor5,wrist→ear,-129.99999999999545,61.66,61.53
71,sensor4-sensor5,wrist→ear,-129.99999999999545,62.55,62.42
72,sensor4-sensor5,wrist→ear,-90.00000000000341,63.38,63.29
73,sensor4-sensor5,wrist→ear,-99.99999999999432,64.25,64.15
74,sensor4-sensor5,wrist→ear,-109.99999999999943,65.16,65.05
75,sensor4-sensor5,wrist→ear,-149.99999999999147,66.08,65.93
76,sensor4-sensor5,wrist→ear,-120.00000000000455,66.87,66.75
77,sensor4-sensor5,wrist→ear,-109.99999999999943,67.7,67.59
78,sensor4-sensor5,wrist→ear,-129.99999999999545,68.58,68.45
79,sensor4-sensor5,wrist→ear,-100.00000000000853,69.4,69.3
81,sensor4-sensor5,wrist→ear,-130.00000000000966,71.09,70.96
86,sensor4-sensor5,wrist→ear,10.000000000005116,74.47,74.48
88,sensor4-sensor5,wrist→ear,-60.000000000002274,76.03,75.97
90,sensor4-sensor5,wrist→ear,-99.99999999999432,78.38,78.28
96,sensor4-sensor5,wrist→ear,-120.00000000000455,82.43,82.31
101,sensor4-sensor5,wrist→ear,-129.99999999999545,88.19,88.06
102,sensor4-sensor5,wrist→ear,-149.99999999999147,89.05,88.9
