heartbeat_id,sensor_pair,sensor_names,ptt_ms,sensor2_time_s,sensor3_time_s,sensor4_time_s
2,sensor2-sensor3,nose→finger,49.999999999999936,0.81,0.86,
3,sensor2-sensor3,nose→finger,70.00000000000006,1.79,1.86,
4,sensor2-sensor3,nose→finger,129.9999999999999,2.69,2.82,
6,sensor2-sensor3,nose→finger,60.0000000000005,5.22,5.28,
7,sensor2-sensor3,nose→finger,110.00000000000031,6.1,6.21,
10,sensor2-sensor3,nose→finger,60.0000000000005,7.76,7.82,
12,sensor2-sensor3,nose→finger,19.999999999999574,9.68,9.7,
13,sensor2-sensor3,nose→finger,60.0000000000005,10.69,10.75,
15,sensor2-sensor3,nose→finger,70.00000000000028,11.53,11.6,
18,sensor2-sensor3,nose→finger,-19.999999999999574,15.17,15.15,
19,sensor2-sensor3,nose→finger,39.99999999999915,16.0,16.04,
20,sensor2-sensor3,nose→finger,59.99999999999872,16.89,16.95,
21,sensor2-sensor3,nose→finger,79.9999999999983,17.82,17.9,
22,sensor2-sensor3,nose→finger,170.0000000000017,18.75,18.92,
24,sensor2-sensor3,nose→finger,110.00000000000298,19.81,19.92,
25,sensor2-sensor3,nose→finger,30.000000000001137,21.64,21.67,
26,sensor2-sensor3,nose→finger,100.00000000000142,22.06,22.16,
28,sensor2-sensor3,nose→finger,19.999999999999574,24.36,24.38,
30,sensor2-sensor3,nose→finger,-19.999999999999574,26.12,26.1,
32,sensor2-sensor3,nose→finger,19.999999999999574,29.21,29.23,
35,sensor2-sensor3,nose→finger,70.00000000000028,31.47,31.54,
36,sensor2-sensor3,nose→finger,60.000000000002274,32.39,32.45,
38,sensor2-sensor3,nose→finger,79.9999999999983,34.13,34.21,
39,sensor2-sensor3,nose→finger,9.99999999999801,35.06,35.07,
40,sensor2-sensor3,nose→finger,80.0000000000054,35.94,36.02,
41,sensor2-sensor3,nose→finger,20.000000000003126,36.8,36.82,
42,sensor2-sensor3,nose→finger,119.99999999999744,37.61,37.73,
43,sensor2-sensor3,nose→finger,90.00000000000341,38.47,38.56,
45,sensor2-sensor3,nose→finger,100.00000000000142,40.32,40.42,
46,sensor2-sensor3,nose→finger,20.000000000003126,41.23,41.25,
48,sensor2-sensor3,nose→finger,79.9999999999983,42.86,42.94,
49,sensor2-sensor3,nose→finger,80.0000000000054,43.76,43.84,
52,sensor2-sensor3,nose→finger,90.00000000000341,45.4,45.49,
58,sensor2-sensor3,nose→finger,109.99999999999943,50.19,50.3,
59,sensor2-sensor3,nose→finger,100.00000000000142,50.99,51.09,
62,sensor2-sensor3,nose→finger,-149.99999999999858,53.78,53.63,
64,sensor2-sensor3,nose→finger,50.00000000000426,54.51,54.56,
65,sensor2-sensor3,nose→finger,-139.99999999999346,55.73,55.59,
67,sensor2-sensor3,nose→finger,-140.00000000000057,56.69,56.55,
74,sensor2-sensor3,nose→finger,19.99999999999602,63.03,63.05,
75,sensor2-sensor3,nose→finger,-189.99999999999773,65.07,64.88,
81,sensor2-sensor3,nose→finger,180.00000000000682,71.27,71.45,
82,sensor2-sensor3,nose→finger,-159.9999999999966,72.39,72.23,
85,sensor2-sensor3,nose→finger,-19.99999999999602,75.55,75.53,
98,sensor2-sensor3,nose→finger,-140.00000000000057,86.12,85.98,
101,sensor2-sensor3,nose→finger,-179.9999999999926,90.07,89.89,
107,sensor2-sensor3,nose→finger,160.0000000000108,96.99,97.15,
114,sensor2-sensor3,nose→finger,30.000000000001137,104.25,104.28,
120,sensor2-sensor3,nose→finger,170.0000000000017,109.84,110.01,
121,sensor2-sensor3,nose→finger,120.00000000000455,110.61,110.73,
126,sensor2-sensor3,nose→finger,-49.99999999999716,114.69,114.64,
128,sensor2-sensor3,nose→finger,-49.99999999999716,116.49,116.44,
131,sensor2-sensor3,nose→finger,130.00000000000966,118.8,118.93,
132,sensor2-sensor3,nose→finger,69.99999999999318,119.81,119.88,
133,sensor2-sensor3,nose→finger,9.999999999990905,120.81,120.82,
137,sensor2-sensor3,nose→finger,79.9999999999983,125.05,125.13,
141,sensor2-sensor3,nose→finger,60.000000000002274,129.14,129.2,
144,sensor2-sensor3,nose→finger,129.99999999999545,131.68,131.81,
147,sensor2-sensor3,nose→finger,100.00000000002274,135.89,135.99,
149,sensor2-sensor3,nose→finger,129.99999999999545,137.63,137.76,
151,sensor2-sensor3,nose→finger,69.99999999999318,140.16,140.23,
153,sensor2-sensor3,nose→finger,-179.9999999999784,142.14,141.96,
158,sensor2-sensor3,nose→finger,-50.00000000001137,146.19,146.14,
160,sensor2-sensor3,nose→finger,40.000000000020464,149.39,149.43,
161,sensor2-sensor3,nose→finger,90.00000000000341,151.85,151.94,
163,sensor2-sensor3,nose→finger,110.00000000001364,153.5,153.61,
166,sensor2-sensor3,nose→finger,50.00000000001137,157.51,157.56,
173,sensor2-sensor3,nose→finger,180.00000000000682,165.59,165.77,
174,sensor2-sensor3,nose→finger,-40.000000000020464,167.3,167.26,
176,sensor2-sensor3,nose→finger,140.00000000001478,168.79,168.93,
179,sensor2-sensor3,nose→finger,109.99999999998522,172.02,172.13,
181,sensor2-sensor3,nose→finger,-80.0000000000125,173.75,173.67,
184,sensor2-sensor3,nose→finger,80.0000000000125,176.17,176.25,
186,sensor2-sensor3,nose→finger,-30.000000000001137,178.74,178.71,
189,sensor2-sensor3,nose→finger,159.9999999999966,182.68,182.84,
191,sensor2-sensor3,nose→finger,30.000000000001137,184.37,184.4,
193,sensor2-sensor3,nose→finger,90.00000000000341,186.01,186.1,
194,sensor2-sensor3,nose→finger,99.99999999999432,187.66,187.76,
195,sensor2-sensor3,nose→finger,0.0,188.65,188.65,
198,sensor2-sensor3,nose→finger,30.000000000001137,190.27,190.3,
199,sensor2-sensor3,nose→finger,159.9999999999966,191.01,191.17,
200,sensor2-sensor3,nose→finger,50.00000000001137,191.95,192.0,
201,sensor2-sensor3,nose→finger,-9.999999999990905,192.79,192.78,
202,sensor2-sensor3,nose→finger,129.99999999999545,193.57,193.7,
203,sensor2-sensor3,nose→finger,-30.000000000001137,194.47,194.44,
205,sensor2-sensor3,nose→finger,120.00000000000455,195.97,196.09,
207,sensor2-sensor3,nose→finger,60.000000000002274,197.76,197.82,
209,sensor2-sensor3,nose→finger,150.00000000000568,199.4,199.55,
7,sensor2-sensor4,nose→wrist,60.0000000000005,6.1,,6.16
10,sensor2-sensor4,nose→wrist,100.00000000000054,7.76,,7.86
13,sensor2-sensor4,nose→wrist,40.000000000000924,10.69,,10.73
20,sensor2-sensor4,nose→wrist,99.99999999999787,16.89,,16.99
21,sensor2-sensor4,nose→wrist,160.00000000000014,17.82,,17.98
22,sensor2-sensor4,nose→wrist,50.00000000000071,18.75,,18.8
24,sensor2-sensor4,nose→wrist,-19.999999999999574,19.81,,19.79
26,sensor2-sensor4,nose→wrist,-29.999999999997584,22.06,,22.03
28,sensor2-sensor4,nose→wrist,129.999999999999,24.36,,24.49
30,sensor2-sensor4,nose→wrist,59.99999999999872,26.12,,26.18
35,sensor2-sensor4,nose→wrist,179.99999999999972,31.47,,31.65
39,sensor2-sensor4,nose→wrist,-90.00000000000341,35.06,,34.97
49,sensor2-sensor4,nose→wrist,-89.9999999999963,43.76,,43.67
52,sensor2-sensor4,nose→wrist,179.99999999999972,45.4,,45.58
81,sensor2-sensor4,nose→wrist,-9.999999999990905,71.27,,71.26
82,sensor2-sensor4,nose→wrist,-219.99999999999886,72.39,,72.17
85,sensor2-sensor4,nose→wrist,90.00000000000341,75.55,,75.64
98,sensor2-sensor4,nose→wrist,-10.000000000005116,86.12,,86.11
114,sensor2-sensor4,nose→wrist,159.9999999999966,104.25,,104.41
120,sensor2-sensor4,nose→wrist,209.99999999999375,109.84,,110.05
128,sensor2-sensor4,nose→wrist,30.000000000001137,116.49,,116.52
144,sensor2-sensor4,nose→wrist,-10.000000000019327,131.68,,131.67
147,sensor2-sensor4,nose→wrist,150.00000000000568,135.89,,136.04
