sensor,sensor_name,peak_number,peak_index,peak_time_s,quality
sensor2,nose,1,193,1.736963742649555,good
sensor2,nose,2,370,3.3299304910898204,good
sensor2,nose,3,544,4.895897803115845,good
sensor2,nose,4,605,5.44488634353876,good
sensor2,nose,5,721,6.48886455155611,good
sensor2,nose,6,844,7.5958414445400235,good
sensor2,nose,7,1011,9.098810071599482,good
sensor2,nose,8,1098,9.881793727612495,good
sensor2,nose,9,1157,10.41278264375925,good
sensor2,nose,10,1407,12.662735678279398,good
sensor2,nose,11,1556,14.003707686853408,good
sensor2,nose,12,1696,15.263681386184691,good
sensor2,nose,13,1778,16.0016659815073,good
sensor2,nose,14,1908,17.17164155945778,good
sensor2,nose,15,2078,18.70160962293148,good
sensor2,nose,16,2262,20.35757505633831,good
sensor2,nose,17,2400,21.59954913139343,good
sensor2,nose,18,2459,22.130538047540185,good
sensor2,nose,19,2608,23.471510056114194,good
sensor2,nose,20,2781,25.028477556002137,good
sensor2,nose,21,2832,25.48746797504425,good
sensor2,nose,22,2926,26.333450316023825,good
sensor2,nose,23,3168,28.51140485343933,good
sensor2,nose,24,3205,28.844397902548312,good
sensor2,nose,25,3534,31.805336095976827,good
sensor2,nose,26,3621,32.588319751989836,good
sensor2,nose,27,3736,33.62329814786911,good
sensor2,nose,28,3862,34.757274477267266,good
sensor2,nose,29,3940,35.45925982403755,good
sensor2,nose,30,4203,37.826210416352744,good
sensor2,nose,31,4260,38.33919970822334,good
sensor2,nose,32,4438,39.94116626880169,good
sensor2,nose,33,4626,41.63313095076084,good
sensor2,nose,34,4733,42.596110849535464,good
sensor2,nose,35,4838,43.541091124033926,good
sensor2,nose,36,5032,45.28705467882156,good
sensor2,nose,37,5121,46.088037959110736,good
sensor2,nose,38,5236,47.12301635499,good
sensor2,nose,39,5390,48.508987424254414,good
sensor2,nose,40,5551,49.95795717848539,good
sensor2,nose,41,5645,50.80393951946497,good
sensor2,nose,42,5705,51.3439282477498,good
sensor2,nose,43,5889,52.99989368115663,good
sensor2,nose,44,6004,54.0348720770359,good
sensor2,nose,45,6212,55.90683300175667,good
sensor2,nose,46,6347,57.12180764039754,good
sensor2,nose,47,6552,58.966769128704065,good
sensor2,nose,48,6677,60.09174564596414,good
sensor2,nose,49,6836,61.522715775918954,good
sensor2,nose,50,6956,62.602693232488626,good
sensor2,nose,51,7105,63.94366524106264,good
sensor2,nose,52,7241,65.1676396918416,good
sensor2,nose,53,7278,65.50063274095058,good
sensor2,nose,54,7405,66.64360888248682,good
sensor2,nose,55,7457,67.11159911366701,good
sensor2,nose,56,7606,68.45257112224101,good
sensor2,nose,57,7761,69.84754200364351,good
sensor2,nose,58,7916,71.242512885046,good
sensor2,nose,59,8055,72.49348677223921,good
sensor2,nose,60,8224,74.01445502357483,good
sensor2,nose,61,8346,75.11243210442066,good
sensor2,nose,62,8408,75.67042045698166,good
sensor2,nose,63,8523,76.70539885286092,good
sensor2,nose,64,8568,77.11039039907455,good
sensor2,nose,65,8773,78.95535188738107,good
sensor2,nose,66,8942,80.47632013871669,good
sensor2,nose,67,9075,81.67329515308141,good
sensor2,nose,68,9277,83.49125720497369,good
sensor2,nose,69,9390,84.5082359765768,good
sensor2,nose,70,9426,84.8322292135477,good
sensor2,nose,71,9576,86.18220103425979,good
sensor2,nose,72,9770,87.92816458904743,good
sensor2,nose,73,9931,89.3771343432784,good
sensor2,nose,74,10165,91.48309038358926,good
sensor2,nose,75,10371,93.33705168403387,good
sensor2,nose,76,10447,94.021037406528,good
sensor2,nose,77,10597,95.37100922724008,good
sensor2,nose,78,10638,95.74000152490139,good
sensor2,nose,79,10745,96.70298142367601,good
sensor2,nose,80,10797,97.1709716548562,good
sensor2,nose,81,10917,98.25094911142587,good
sensor2,nose,82,11012,99.10593126454353,good
sensor2,nose,83,11118,100.05991135118006,good
sensor2,nose,84,11202,100.81589557077884,good
sensor2,nose,85,11358,102.2198662643194,good
sensor2,nose,86,11428,102.84985311398505,good
sensor2,nose,87,11493,103.43484090296029,good
sensor2,nose,88,11608,104.46981929883957,good
sensor2,nose,89,11743,105.68479393748044,good
sensor2,nose,90,11780,106.01778698658943,good
sensor2,nose,91,11933,107.39475824371576,good
sensor2,nose,92,11999,107.98874584482907,good
sensor2,nose,93,12120,109.07772311353683,good
sensor2,nose,94,12230,110.0677024487257,good
sensor2,nose,95,12275,110.47269399493932,good
sensor2,nose,96,12337,111.03068234750032,good
sensor2,nose,97,12429,111.85866506420373,good
sensor2,nose,98,12549,112.9386425207734,good
sensor2,nose,99,12674,114.06361903803348,good
sensor2,nose,100,12800,115.19759536743163,good
sensor2,nose,101,12898,116.07957695696354,good
sensor2,nose,102,12983,116.84456098870038,good
sensor2,nose,103,13141,118.26653130651711,good
sensor2,nose,104,13264,119.37350819950103,good
sensor2,nose,105,13359,120.22849035261869,good
sensor2,nose,106,13457,121.11047194215058,good
sensor2,nose,107,13511,121.59646179760693,good
