heartbeat_id,reference_sensor,reference_time,n_sensors,sensor2_time,sensor2_index,sensor3_time,sensor3_index,sensor4_time,sensor4_index,sensor5_time,sensor5_index
1,sensor3,1750838473.7842903,4,1750838473.7210362,39.0,1750838473.7842903,45,1750838473.7888184,46.0,1750838473.685361,35.0
2,sensor3,1750838474.6298578,4,1750838474.5935514,136.0,1750838474.6298578,140,1750838474.648046,142.0,1750838474.5403807,130.0
3,sensor3,1750838475.5121462,4,1750838475.4751472,233.0,1750838475.5121462,238,1750838475.511162,237.0,1750838475.4390662,229.0
4,sensor3,1750838476.3759546,4,1750838476.3439193,330.0,1750838476.3759546,333,1750838476.3804529,334.0,1750838476.304086,325.0
5,sensor3,1750838477.20431,4,1750838477.1493564,420.0,1750838477.20431,425,1750838477.220989,428.0,1750838477.1143725,416.0
6,sensor3,1750838478.0318615,3,,,1750838478.0318615,517,1750838477.995863,513.0,1750838477.941289,508.0
7,sensor3,1750838478.8610785,4,1750838478.8410487,608.0,1750838478.8610785,609,1750838478.9766753,623.0,1750838478.8056178,604.0
8,sensor3,1750838479.5841918,2,,,1750838479.5841918,690,,,1750838479.3680196,666.0
9,sensor3,1750838480.425738,4,1750838480.4122367,782.0,1750838480.425738,784,1750838480.407738,781.0,1750838480.1649947,755.0
10,sensor3,1750838481.204257,3,,,1750838481.204257,870,1750838481.2171822,872.0,1750838481.1286197,862.0
11,sensor3,1750838481.956375,4,1750838481.9242148,950.0,1750838481.956375,954,1750838481.974372,956.0,1750838481.8558652,943.0
12,sensor3,1750838482.7655883,4,1750838482.7114017,1037.0,1750838482.7655883,1044,1750838482.7655883,1044.0,1750838482.684853,1035.0
13,sensor3,1750838483.5398998,3,1750838483.504899,1125.0,1750838483.5398998,1129,1750838483.5568874,1132.0,,
14,sensor3,1750838484.2963586,3,,,1750838484.2963586,1214,1750838484.304257,1215.0,1750838484.1864493,1201.0
15,sensor3,1750838485.0236094,4,1750838484.9891117,1291.0,1750838485.0236094,1295,1750838485.034066,1296.0,1750838484.7997682,1269.0
16,sensor3,1750838485.7537634,4,1750838485.7087083,1371.0,1750838485.7537634,1376,1750838485.7447095,1375.0,1750838485.668152,1366.0
17,sensor3,1750838486.4649034,4,1750838486.4020295,1448.0,1750838486.4649034,1455,1750838486.473077,1456.0,1750838486.3919013,1447.0
18,sensor3,1750838487.2112374,4,1750838487.1390724,1529.0,1750838487.2112374,1537,1750838487.212116,1538.0,1750838487.1390724,1529.0
19,sensor3,1750838487.913844,4,1750838487.8640304,1610.0,1750838487.913844,1616,1750838487.913844,1616.0,1750838487.8248734,1606.0
20,sensor3,1750838488.6336997,4,1750838488.5881803,1691.0,1750838488.6336997,1696,1750838488.6517038,1697.0,1750838488.580129,1689.0
21,sensor3,1750838489.4077682,4,1750838489.3757863,1778.0,1750838489.4077682,1781,1750838489.424771,1784.0,1750838489.316945,1772.0
22,sensor3,1750838490.1814184,4,1750838490.1282594,1862.0,1750838490.1814184,1868,1750838490.1814184,1868.0,1750838490.1002288,1859.0
23,sensor3,1750838490.9733531,4,1750838490.9373524,1952.0,1750838490.9733531,1956,1750838490.9923582,1958.0,1750838490.8653738,1944.0
24,sensor3,1750838491.7295604,4,1750838491.638767,2029.0,1750838491.7295604,2040,1750838491.7295604,2040.0,1750838491.6760027,2034.0
25,sensor3,1750838492.503867,4,1750838492.439894,2119.0,1750838492.503867,2125,1750838492.5079114,2126.0,1750838492.4356425,2118.0
26,sensor3,1750838493.260398,4,1750838493.2593985,2209.0,1750838493.260398,2210,1750838493.2593985,2209.0,1750838493.1692362,2200.0
27,sensor3,1750838494.0517812,3,1750838494.0147817,2293.0,1750838494.0517812,2298,1750838494.0507815,2297.0,,
28,sensor3,1750838494.843763,4,1750838494.7711236,2377.0,1750838494.843763,2385,1750838494.825752,2384.0,1750838494.7800963,2379.0
29,sensor3,1750838495.6437593,4,1750838495.608145,2471.0,1750838495.6437593,2475,1750838495.6437593,2475.0,1750838495.5724554,2467.0
30,sensor3,1750838496.426833,3,1750838496.3641448,2555.0,1750838496.426833,2561,1750838496.426833,2561.0,,
31,sensor3,1750838497.1655483,4,1750838497.115726,2638.0,1750838497.1655483,2644,1750838497.182901,2645.0,1750838497.0765653,2634.0
32,sensor3,1750838497.9577568,4,1750838497.920772,2728.0,1750838497.9577568,2732,1750838497.9577568,2732.0,1750838497.9130726,2727.0
33,sensor3,1750838498.7856834,4,1750838498.7766569,2823.0,1750838498.7856834,2824,1750838498.8036988,2826.0,1750838498.740651,2819.0
34,sensor3,1750838499.5950882,4,1750838499.5413074,2908.0,1750838499.5950882,2913,1750838499.5681765,2911.0,1750838499.3157184,2883.0
35,sensor3,1750838500.3913443,4,1750838500.3329694,2996.0,1750838500.3913443,3002,1750838500.4276528,3006.0,1750838500.290636,2991.0
36,sensor3,1750838501.198031,3,,,1750838501.198031,3092,1750838501.178733,3089.0,1750838501.071807,3077.0
37,sensor3,1750838502.0112853,2,,,1750838502.0112853,3182,1750838502.0072353,3181.0,,
38,sensor3,1750838502.7723348,4,1750838502.736614,3263.0,1750838502.7723348,3267,1750838502.7677708,3266.0,1750838503.0194063,3294.0
39,sensor3,1750838503.5191278,4,1750838503.492912,3347.0,1750838503.5191278,3350,1750838503.537134,3352.0,1750838503.448188,3342.0
40,sensor3,1750838504.2937758,4,1750838504.2406118,3430.0,1750838504.2937758,3436,1750838504.31176,3438.0,1750838504.2122438,3427.0
41,sensor3,1750838505.0856907,4,1750838505.0408363,3519.0,1750838505.0856907,3524,1750838505.107699,3526.0,1750838505.013081,3516.0
42,sensor3,1750838505.8681257,4,1750838505.823583,3605.0,1750838505.8681257,3611,1750838505.8681257,3611.0,1750838505.7880094,3601.0
43,sensor3,1750838506.615954,4,1750838506.5611737,3688.0,1750838506.615954,3693,1750838506.5879078,3691.0,1750838506.5429137,3685.0
44,sensor3,1750838507.3755927,4,1750838507.334875,3773.0,1750838507.3755927,3778,1750838507.4073572,3781.0,1750838507.2812054,3768.0
45,sensor3,1750838508.16744,4,1750838508.1094563,3860.0,1750838508.16744,3866,1750838508.171549,3867.0,1750838508.0914545,3857.0
46,sensor3,1750838508.9596534,4,1750838508.9188683,3949.0,1750838508.9596534,3954,1750838508.9596534,3954.0,1750838508.8660398,3944.0
47,sensor3,1750838509.6837249,4,1750838509.638354,4029.0,1750838509.6837249,4035,1750838509.7202592,4039.0,1750838509.638354,4029.0
48,sensor3,1750838510.449566,4,1750838510.41312,4116.0,1750838510.449566,4120,1750838510.4675646,4122.0,1750838510.3940537,4113.0
49,sensor3,1750838511.2408812,4,1750838511.2050073,4204.0,1750838511.2408812,4208,1750838511.2590778,4209.0,1750838511.1596985,4199.0
50,sensor3,1750838512.050279,4,1750838511.9967556,4292.0,1750838512.050279,4297,1750838512.0592782,4299.0,1750838511.961482,4288.0
51,sensor3,1750838512.7891266,4,1750838512.7440114,4375.0,1750838512.7891266,4380,1750838512.8111784,4382.0,1750838512.7083423,4371.0
52,sensor3,1750838513.5360198,4,1750838513.4908752,4457.0,1750838513.5360198,4463,1750838513.5625577,4465.0,1750838513.463765,4455.0
53,sensor3,1750838514.2924943,4,1750838514.2558177,4543.0,1750838514.2924943,4547,1750838514.3004782,4548.0,1750838514.2115738,4538.0
54,sensor3,1750838515.0569465,4,1750838515.0037606,4626.0,1750838515.0569465,4632,1750838515.0569465,4632.0,1750838514.9675572,4622.0
55,sensor3,1750838515.7945223,4,1750838515.759065,4709.0,1750838515.7945223,4713,1750838515.7953796,4714.0,1750838515.6966286,4703.0
56,sensor3,1750838516.496963,4,1750838516.447732,4786.0,1750838516.496963,4792,1750838516.5192354,4794.0,1750838516.4155877,4783.0
57,sensor3,1750838517.2163508,4,1750838517.180317,4868.0,1750838517.2163508,4872,1750838517.2436182,4875.0,1750838517.1358955,4863.0
58,sensor3,1750838517.9730694,4,1750838517.9195752,4950.0,1750838517.9730694,4956,1750838517.993192,4957.0,1750838517.8915756,4947.0
59,sensor3,1750838518.7156549,3,,,1750838518.7156549,5038,1750838518.7156549,5038.0,1750838518.6425514,5030.0
60,sensor3,1750838519.4349504,4,1750838519.3769386,5112.0,1750838519.4349504,5118,1750838519.4349504,5118.0,1750838519.3599195,5110.0
61,sensor3,1750838520.1956766,4,1750838520.1604002,5199.0,1750838520.1956766,5203,1750838520.2226913,5205.0,1750838520.12369,5195.0
62,sensor3,1750838520.9882278,4,1750838520.9539886,5287.0,1750838520.9882278,5291,1750838520.9882278,5291.0,1750838520.9081006,5282.0
63,sensor3,1750838521.8158443,4,1750838521.7796493,5379.0,1750838521.8158443,5383,1750838521.788641,5380.0,1750838521.7396126,5374.0
64,sensor3,1750838522.5813675,4,1750838522.5619466,5465.0,1750838522.5813675,5468,1750838522.599251,5470.0,1750838522.5000105,5459.0
65,sensor3,1750838523.3595629,4,1750838523.3190937,5549.0,1750838523.3595629,5554,1750838523.3595629,5554.0,1750838523.2832222,5545.0
66,sensor3,1750838524.1508932,4,1750838524.111858,5638.0,1750838524.1508932,5642,1750838524.1866393,5646.0,1750838524.079281,5634.0
67,sensor3,1750838524.956554,4,1750838524.9122128,5727.0,1750838524.956554,5732,1750838524.977105,5734.0,1750838524.8712316,5722.0
68,sensor3,1750838525.7399209,4,1750838525.7039227,5815.0,1750838525.7399209,5819,1750838525.771488,5822.0,1750838525.6672027,5811.0
69,sensor3,1750838526.4911575,4,1750838526.4239087,5895.0,1750838526.4911575,5902,1750838526.5042355,5904.0,1750838526.3963838,5892.0
70,sensor3,1750838527.2422836,4,1750838527.1882584,5980.0,1750838527.2422836,5985,1750838527.2512884,5987.0,1750838527.152604,5976.0
71,sensor3,1750838528.016126,4,1750838527.971621,6067.0,1750838528.016126,6072,1750838528.035461,6073.0,1750838527.9310985,6062.0
72,sensor3,1750838528.795351,4,1750838528.7558696,6154.0,1750838528.795351,6158,1750838528.795351,6158.0,1750838528.718657,6149.0
73,sensor3,1750838529.555179,3,,,1750838529.555179,6243,1750838529.5821605,6245.0,1750838529.4739497,6233.0
74,sensor3,1750838530.2763329,4,1750838530.2297957,6317.0,1750838530.2763329,6323,1750838530.303557,6326.0,1750838530.1993318,6314.0
75,sensor3,1750838531.022427,4,1750838530.959826,6399.0,1750838531.022427,6405,1750838531.0404196,6408.0,1750838530.9506738,6397.0
76,sensor3,1750838531.779626,4,1750838531.7247157,6484.0,1750838531.779626,6489,1750838531.7837176,6490.0,1750838531.6881056,6480.0
77,sensor3,1750838532.5439675,4,1750838532.5030394,6570.0,1750838532.5439675,6575,1750838532.5519435,6576.0,1750838532.4629934,6565.0
78,sensor3,1750838533.262858,4,1750838533.226858,6651.0,1750838533.262858,6655,1750838533.2719524,6656.0,1750838533.1908755,6647.0
79,sensor3,1750838534.0204492,4,1750838533.9834533,6735.0,1750838534.0204492,6739,1750838534.0509562,6742.0,1750838533.947899,6731.0
80,sensor3,1750838534.8211305,4,1750838534.770867,6822.0,1750838534.8211305,6828,1750838534.8383644,6829.0,1750838534.748362,6820.0
81,sensor3,1750838535.670919,4,1750838535.6303473,6917.0,1750838535.670919,6922,1750838535.683708,6924.0,1750838535.5945203,6913.0
82,sensor3,1750838536.4395876,4,1750838536.397594,7003.0,1750838536.4395876,7008,1750838536.4631104,7010.0,1750838536.3598487,6999.0
83,sensor3,1750838537.250701,4,1750838537.214282,7093.0,1750838537.250701,7097,1750838537.2590148,7099.0,1750838537.1785097,7089.0
84,sensor3,1750838538.0875723,4,1750838538.0466676,7186.0,1750838538.0875723,7191,1750838538.096594,7192.0,1750838538.011004,7182.0
85,sensor3,1750838538.907124,3,,,1750838538.907124,7282,1750838538.9426775,7285.0,1750838538.8387833,7274.0
86,sensor3,1750838539.7012155,4,1750838539.6624432,7365.0,1750838539.7012155,7370,1750838539.7002158,7369.0,1750838539.626181,7361.0
87,sensor3,1750838540.508123,4,1750838540.4724724,7456.0,1750838540.508123,7460,1750838540.508123,7460.0,1750838540.4369154,7452.0
88,sensor3,1750838541.3725724,4,1750838541.3231952,7549.0,1750838541.3725724,7556,1750838541.390072,7557.0,1750838541.2911615,7547.0
89,sensor3,1750838542.1826718,3,,,1750838542.1826718,7646,1750838542.1995883,7648.0,1750838542.110503,7637.0
90,sensor3,1750838542.9742827,4,1750838542.9372828,7729.0,1750838542.9742827,7733,1750838542.9787984,7734.0,1750838542.902723,7725.0
91,sensor3,1750838543.801633,4,1750838543.765728,7821.0,1750838543.801633,7825,1750838543.8204875,7828.0,1750838543.7297337,7817.0
92,sensor3,1750838544.6482842,4,1750838544.603135,7915.0,1750838544.6482842,7920,1750838544.6301656,7917.0,1750838544.567531,7911.0
93,sensor3,1750838545.467163,3,,,1750838545.467163,8011,1750838545.494183,8013.0,1750838545.3906343,8002.0
94,sensor3,1750838546.2546277,4,1750838546.197361,8092.0,1750838546.2546277,8098,1750838546.2591202,8099.0,1750838546.182641,8090.0
95,sensor3,1750838547.0792625,3,,,1750838547.0792625,8190,1750838547.0962677,8192.0,1750838547.010737,8182.0
96,sensor3,1750838547.9608626,4,1750838547.9427752,8285.0,1750838547.9608626,8288,1750838547.9961743,8292.0,1750838547.910987,8282.0
97,sensor3,1750838548.851112,4,1750838548.8064458,8382.0,1750838548.851112,8387,1750838548.8611302,8388.0,1750838548.7791948,8379.0
98,sensor3,1750838549.671837,3,1750838549.6067348,8471.0,1750838549.671837,8477,,,1750838549.5712898,8467.0
99,sensor3,1750838550.4352458,4,1750838550.389634,8557.0,1750838550.4352458,8563,1750838550.4667454,8566.0,1750838550.389634,8557.0
100,sensor3,1750838551.271754,4,1750838551.2364514,8652.0,1750838551.271754,8656,1750838551.3079686,8660.0,1750838551.1820412,8645.0
101,sensor3,1750838552.1269343,4,1750838552.063177,8744.0,1750838552.1269343,8751,1750838552.1269343,8751.0,1750838552.063177,8744.0
102,sensor3,1750838552.9188943,4,1750838552.8788345,8834.0,1750838552.9188943,8839,1750838552.9278746,8840.0,1750838552.8383124,8829.0
103,sensor3,1750838553.7026677,4,1750838553.647393,8920.0,1750838553.7026677,8925,1750838553.7036712,8926.0,1750838553.6302717,8917.0
104,sensor3,1750838554.5348337,4,1750838554.494624,9013.0,1750838554.5348337,9018,1750838554.5503297,9020.0,1750838554.4396262,9008.0
105,sensor3,1750838555.398541,4,1750838555.3400488,9108.0,1750838555.398541,9114,1750838555.4031174,9115.0,1750838555.3226073,9105.0
106,sensor3,1750838556.1907468,4,1750838556.1516967,9198.0,1750838556.1907468,9202,1750838556.203899,9204.0,1750838556.1140306,9193.0
