peak_number,peak_index,peak_time,ibi_ms,is_valid_ibi
1,45,1750838473.7842903,,False
2,140,1750838474.6298578,845.5674648284912,True
3,238,1750838475.5121462,882.2884559631348,True
4,333,1750838476.3759546,863.8083934783936,True
5,425,1750838477.20431,828.3553123474121,True
6,517,1750838478.0318615,827.5516033172607,True
7,609,1750838478.8610785,829.2169570922852,True
8,690,1750838479.5841918,723.1132984161377,True
9,784,1750838480.425738,841.5462970733643,True
10,870,1750838481.204257,778.5189151763916,True
11,954,1750838481.956375,752.1178722381592,True
12,1044,1750838482.7655883,809.213399887085,True
13,1129,1750838483.5398998,774.3115425109863,True
14,1214,1750838484.2963586,756.4587593078613,True
15,1295,1750838485.0236094,727.2508144378662,True
16,1376,1750838485.7537634,730.1540374755859,True
17,1455,1750838486.4649034,711.1399173736572,True
18,1537,1750838487.2112374,746.3340759277344,True
19,1616,1750838487.913844,702.6066780090332,True
20,1696,1750838488.6336997,719.855546951294,True
21,1781,1750838489.4077682,774.0685939788818,True
22,1868,1750838490.1814184,773.6501693725586,True
23,1956,1750838490.9733531,791.9347286224365,True
24,2040,1750838491.7295604,756.2072277069092,True
25,2125,1750838492.503867,774.3065357208252,True
26,2210,1750838493.260398,756.5310001373291,True
27,2298,1750838494.0517812,791.3832664489746,True
28,2385,1750838494.843763,791.9819355010986,True
29,2475,1750838495.6437593,799.9961376190186,True
30,2561,1750838496.426833,783.0736637115479,True
31,2644,1750838497.1655483,738.715410232544,True
32,2732,1750838497.9577568,792.2084331512451,True
33,2824,1750838498.7856834,827.9266357421875,True
34,2913,1750838499.5950882,809.4048500061035,True
35,3002,1750838500.3913443,796.2560653686523,True
36,3092,1750838501.198031,806.6866397857666,True
37,3182,1750838502.0112853,813.2543563842773,True
38,3267,1750838502.7723348,761.0495090484619,True
39,3350,1750838503.5191278,746.7930316925049,True
40,3436,1750838504.2937758,774.6479511260986,True
41,3524,1750838505.0856907,791.9149398803711,True
42,3611,1750838505.8681257,782.4349403381348,True
43,3693,1750838506.615954,747.8282451629639,True
44,3778,1750838507.3755927,759.638786315918,True
45,3866,1750838508.16744,791.8472290039062,True
46,3954,1750838508.9596534,792.2134399414062,True
47,4035,1750838509.6837249,724.0715026855469,True
48,4120,1750838510.449566,765.841007232666,True
49,4208,1750838511.2408812,791.3153171539307,True
50,4297,1750838512.050279,809.3976974487305,True
51,4380,1750838512.7891266,738.8477325439453,True
52,4463,1750838513.5360198,746.8931674957275,True
53,4547,1750838514.2924943,756.474494934082,True
54,4632,1750838515.0569465,764.4522190093994,True
55,4713,1750838515.7945223,737.5757694244385,True
56,4792,1750838516.496963,702.4407386779785,True
57,4872,1750838517.2163508,719.3877696990967,True
58,4956,1750838517.9730694,756.718635559082,True
59,5038,1750838518.7156549,742.5854206085205,True
60,5118,1750838519.4349504,719.2955017089844,True
61,5203,1750838520.1956766,760.7262134552002,True
62,5291,1750838520.9882278,792.5512790679932,True
63,5383,1750838521.8158443,827.6164531707764,True
64,5468,1750838522.5813675,765.5231952667236,True
65,5554,1750838523.3595629,778.1953811645508,True
66,5642,1750838524.1508932,791.3303375244141,True
67,5732,1750838524.956554,805.6607246398926,True
68,5819,1750838525.7399209,783.3669185638428,True
69,5902,1750838526.4911575,751.2366771697998,True
70,5985,1750838527.2422836,751.1260509490967,True
71,6072,1750838528.016126,773.8423347473145,True
72,6158,1750838528.795351,779.2251110076904,True
73,6243,1750838529.555179,759.8280906677246,True
74,6323,1750838530.2763329,721.153736114502,True
75,6405,1750838531.022427,746.0942268371582,True
76,6489,1750838531.779626,757.1988105773926,True
77,6575,1750838532.5439675,764.3415927886963,True
78,6655,1750838533.262858,718.8904285430908,True
79,6739,1750838534.0204492,757.5912475585938,True
80,6828,1750838534.8211305,800.6813526153564,True
81,6922,1750838535.670919,849.7884273529053,True
82,7008,1750838536.4395876,768.6686515808105,True
83,7097,1750838537.250701,811.1133575439453,True
84,7191,1750838538.0875723,836.8713855743408,True
85,7282,1750838538.907124,819.5517063140869,True
86,7370,1750838539.7012155,794.0914630889893,True
87,7460,1750838540.508123,806.9074153900146,True
88,7556,1750838541.3725724,864.4495010375977,True
89,7646,1750838542.1826718,810.0993633270264,True
90,7733,1750838542.9742827,791.6109561920166,True
91,7825,1750838543.801633,827.3501396179199,True
92,7920,1750838544.6482842,846.6513156890869,True
93,8011,1750838545.467163,818.8788890838623,True
94,8098,1750838546.2546277,787.4646186828613,True
95,8190,1750838547.0792625,824.6347904205322,True
96,8288,1750838547.9608626,881.6001415252686,True
97,8387,1750838548.851112,890.2492523193359,True
98,8477,1750838549.671837,820.7252025604248,True
99,8563,1750838550.4352458,763.4086608886719,True
100,8656,1750838551.271754,836.5082740783691,True
101,8751,1750838552.1269343,855.1802635192871,True
102,8839,1750838552.9188943,791.9600009918213,True
103,8925,1750838553.7026677,783.7734222412109,True
104,9018,1750838554.5348337,832.1659564971924,True
105,9114,1750838555.398541,863.7073040008545,True
106,9202,1750838556.1907468,792.205810546875,True
107,9294,1750838557.018414,827.667236328125,True
108,9390,1750838557.8822265,863.8124465942383,True
109,9481,1750838558.7056222,823.3957290649414,True
110,9570,1750838559.4988952,793.2729721069336,True
111,9661,1750838560.3260438,827.1486759185791,True
112,9756,1750838561.17189,845.8461761474609,True
113,9847,1750838561.993683,821.7930793762207,True
114,9934,1750838562.7740731,780.3900241851807,True
115,10023,1750838563.575422,801.3489246368408,True
116,10115,1750838564.4032435,827.8214931488037,True
117,10203,1750838565.1956055,792.3619747161865,True
118,10288,1750838565.9594717,763.8661861419678,True
119,10379,1750838566.7791135,819.6418285369873,True
120,10476,1750838567.6525168,873.4033107757568,True
121,10566,1750838568.4677734,815.2565956115723,True
122,10655,1750838569.262379,794.6054935455322,True
123,10747,1750838570.09014,827.761173248291,True
124,10837,1750838570.910246,820.105791091919,True
125,10923,1750838571.67436,764.1141414642334,True
126,11010,1750838572.4621549,787.794828414917,True
127,11103,1750838573.2943769,832.2219848632812,True
128,11195,1750838574.1231792,828.8023471832275,True
129,11281,1750838574.906314,783.1346988677979,True
130,11373,1750838575.734438,828.1240463256836,True
131,11472,1750838576.6155274,881.089448928833,True
132,11565,1750838577.4613247,845.7973003387451,True
133,11656,1750838578.271221,809.8962306976318,True
134,11750,1750838579.118444,847.2230434417725,True
135,11850,1750838580.0184407,899.9967575073242,True
136,11942,1750838580.845697,827.2562026977539,True
137,12033,1750838581.673215,827.5179862976074,True
138,12129,1750838582.537917,864.7019863128662,True
139,12225,1750838583.4024522,864.5353317260742,True
140,12314,1750838584.1992912,796.8389987945557,True
141,12407,1750838585.0309207,831.6295146942139,True
142,12503,1750838585.8942454,863.3246421813965,True
143,12599,1750838586.7583776,864.1321659088135,True
144,12689,1750838587.5777924,819.4148540496826,True
145,12782,1750838588.4100745,832.2820663452148,True
146,12878,1750838589.273921,863.8465404510498,True
147,12975,1750838590.141498,867.577075958252,True
148,13063,1750838590.9334395,791.9414043426514,True
149,13153,1750838591.7537515,820.3120231628418,True
150,13248,1750838592.5988038,845.0522422790527,True
151,13346,1750838593.4861257,887.321949005127,True
152,13435,1750838594.2823966,796.2708473205566,True
153,13530,1750838595.1413496,858.9529991149902,True
154,13629,1750838596.0383282,896.9786167144775,True
155,13725,1750838596.9016204,863.2922172546387,True
156,13814,1750838597.6978838,796.2634563446045,True
157,13908,1750838598.5394452,841.5613174438477,True
158,14009,1750838599.4585412,919.0959930419922,True
159,14106,1750838600.325944,867.4027919769287,True
160,14196,1750838601.131018,805.0739765167236,True
161,14289,1750838601.9791422,848.1242656707764,True
162,14387,1750838602.8495748,870.4326152801514,True
163,14478,1750838603.6735983,824.0234851837158,True
164,14604,1750838604.802591,1128.9927959442139,True
165,14659,1750838605.297056,494.4648742675781,True
166,14751,1750838606.125526,828.46999168396,True
