heartbeat_id,window_id,reference_sensor,window_start_s,window_end_s,sensor3_peak_time_s,sensor3_peak_idx,sensor4_peak_time_s,sensor4_peak_idx
0,0,sensor3,0.0,19.997569911414747,1.4399690305249142,160,1.4579686434064756,162
1,0,sensor3,0.0,19.997569911414747,2.1509537393465905,239,2.14195393290581,238
2,0,sensor3,0.0,19.997569911414747,2.510945996977819,279,2.6549429000303104,295
3,0,sensor3,0.0,19.997569911414747,3.545923737667601,394,3.5369239312268204,393
4,0,sensor3,0.0,19.997569911414747,4.256908446489278,473,4.319907091574742,480
5,0,sensor3,0.0,19.997569911414747,4.976892961751735,553,5.030891800396419,559
6,0,sensor3,0.0,19.997569911414747,5.732876702777315,637,5.6968774770141914,633
7,0,sensor3,0.0,19.997569911414747,6.470860830921333,719,6.497860250243675,722
8,0,sensor3,0.0,19.997569911414747,7.226844571946913,803,7.271843604150816,808
9,0,sensor3,0.0,19.997569911414747,7.982828312972493,887,8.018827538735616,891
10,0,sensor3,0.0,19.997569911414747,8.72081244111651,969,8.747811860438853,972
11,0,sensor3,0.0,19.997569911414747,9.494795795023652,1055,9.539794827227556,1060
12,0,sensor3,0.0,19.997569911414747,10.277778955371575,1142,10.304778374693917,1145
13,0,sensor3,0.0,19.997569911414747,11.060762115719497,1229,11.087761535041839,1232
14,0,sensor3,0.0,19.997569911414747,11.807746050304296,1312,11.84374527606742,1316
15,0,sensor3,0.0,19.997569911414747,12.536730372007534,1393,12.563729791329877,1396
16,0,sensor3,0.0,19.997569911414747,13.328713338796236,1481,13.37371237100014,1486
17,0,sensor3,0.0,19.997569911414747,14.084697079821817,1565,14.102696692703377,1567
18,0,sensor3,0.0,19.997569911414747,15.551665529669073,1728,15.596664561872977,1733
19,0,sensor3,0.0,19.997569911414747,16.28964965781309,1810,16.325648883576214,1814
20,0,sensor3,0.0,19.997569911414747,17.02763378595711,1892,17.072632818161015,1897
21,0,sensor3,0.0,19.997569911414747,18.53060146156749,2059,18.575600493771393,2064
22,0,sensor3,0.0,19.997569911414747,19.331584234796974,2148,19.367583460560095,2152
23,10,sensor3,49.94892574633296,69.9464956577477,50.33591742328653,5593,50.40791587481278,5601
24,10,sensor3,49.94892574633296,69.9464956577477,51.13690019651602,5682,51.16389961583836,5685
25,10,sensor3,49.94892574633296,69.9464956577477,51.8928839375416,5766,51.96488238906784,5774
26,10,sensor3,49.94892574633296,69.9464956577477,52.6848669043303,5854,52.73886574297498,5860
